Experiment,B_Ramp_Angle,B_Diffusor_Angle,B_Trunklid_Angle,C_Side_Mirrors_Rotation,D_Rear_Window_Inclination,D_Winscreen_Inclination,C_Side_Mirrors_Translate_X,C_Side_Mirrors_Translate_Z,D_Winscreen_Length,D_Rear_Window_Length,E_A_B_C_Pillar_Thickness,G_Trunklid_Curvature,G_Trunklid_Length,H_Front_Bumper_Curvature,H_Front_Bumper_Length,F_Door_Handles_Thickness,F_Door_Handles_Z_Position,E_Fenders_Arch_Offset,A_Car_Length,F_Door_Handles_X_Position,A_Car_Width,A_Car_Roof_Height,A_Car_Green_House_Angle,Average Cd,Std Cd,Average Cl,Std Cl,Average Cl_f,Std Cl_f,Average Cl_r,Std Cl_r
E_S_WWC_WM_005,12.9715,10.6198,-6.48716,6.18597,2.25,-0.01,9.68012,5.09923,-12.3244,63.8911,-14.6804,-0.1,11.6543,-0.1,40.39,12.1007,10.4434,39.8728,81.2466,8.66135,130.822,-36.2487,88.6815,0.2962596001096345,0.0059575066595771,-0.1181592820498339,0.0385588875196196,-0.0758200310651162,0.0109830008413446,-0.0423392509640797,0.0354610861939166
E_S_WWC_WM_006,9.34228,-3.16809,3.62362,-0.40938,-0.32,-1.08,18.4869,-4.89229,-21.1429,-51.4419,4.65238,0.4,9.2175,0.5,21.1696,-11.0906,-6.39725,7.58401,-37.6371,-45.9744,127.369,70.7942,-17.8464,0.2234880593023255,0.009729436035042,-0.0720014222219269,0.0244055289599549,-0.1002373567106312,0.0103794650575808,0.0282359344981362,0.0209567042196233
E_S_WWC_WM_007,-0.324772,5.57163,10.0661,19.1134,-1.11,1.97,8.57573,4.18703,11.4337,128.574,-3.17983,0.0,-18.0778,0.1,36.0917,22.9391,-4.14031,23.1288,125.336,5.53025,128.399,-56.5256,-23.5455,0.2778243377475083,0.0088177536625785,-0.1049798236980066,0.0379933211575066,-0.0937264932920265,0.0088626489055377,-0.0112533304076179,0.0403428457826545
E_S_WWC_WM_008,11.2471,-7.30354,18.5968,1.43838,-1.25,0.54,-3.48386,2.24477,7.1409,31.4745,-7.33866,0.6,-8.49659,0.7,6.74988,9.57108,-4.24254,-16.4713,25.4095,-40.3024,107.968,-52.5836,57.4909,0.2389313833953488,0.0062357095790651,-0.0035515655576179,0.0236147273153496,-0.0667499107255814,0.0112652919113973,0.063198345167774,0.0180861996317435
E_S_WWC_WM_009,-1.63974,-7.91724,16.4215,-13.942,0.29,1.26,-7.90374,5.13453,24.627,-28.3226,-3.71092,-0.2,17.2261,0.0,-7.32919,18.7647,-12.1105,43.2354,42.3561,-43.6618,89.0359,26.8087,117.017,0.258389442475083,0.004500068327726,-0.0639534291883721,0.0161481337961218,-0.1508402100431893,0.005389054374017,0.0868867808428571,0.0174924378075105
E_S_WWC_WM_010,7.5353,-4.33703,8.61681,-19.4537,-0.44,-0.39,-9.27498,8.43238,27.9209,17.598,-14.9975,-0.2,3.34073,-0.2,31.5132,1.31296,-17.6415,27.7268,24.6156,37.1007,18.3839,69.6224,2.59549,0.2711289901096345,0.0063323080009695,-0.1264061130538206,0.0283467013355639,-0.1052519019285714,0.0106991358339455,-0.0211542111202657,0.0269084799881828
E_S_WWC_WM_011,1.45564,1.22362,12.0954,7.09802,-0.7,2.3,0.596081,-0.450606,-33.1165,29.2328,1.26841,-0.2,12.2478,0.0,-0.695343,24.2013,-22.1975,38.4497,-38.8848,-47.553,-45.1738,11.9651,-175.733,0.2737035066943521,0.0109556705104003,-0.2142477539767441,0.0364818352203042,-0.1432842957840531,0.0069825071871014,-0.0709634582033222,0.0393699645929297
E_S_WWC_WM_012,7.94051,-5.21013,3.19505,-4.76296,-1.1,-0.29,3.72183,-4.85159,26.9704,109.582,0.993291,0.7,-10.5897,0.9,26.1141,-2.12336,-21.7019,0.783284,4.89163,-36.421,-1.21948,43.4288,-198.922,0.2430741285415282,0.0069969881538871,-0.1005483397285714,0.0179831667063467,-0.0758203323352159,0.0108802699468998,-0.0247280074162764,0.0156477141362318
E_S_WWC_WM_013,0.352927,4.68227,19.1044,-16.4886,-1.64,0.23,-8.74561,2.76618,-2.75982,-76.9116,-14.4971,0.2,2.74215,0.8,46.7225,1.81866,0.981035,24.6691,72.3818,-7.29189,137.84,-9.11047,-37.9416,0.2693035567009967,0.0046880928565202,-0.0601661940126245,0.0266268160180002,-0.1130946847973421,0.0173690724371973,0.0529284908,0.0164521935336143
E_S_WWC_WM_014,6.103,-6.27523,13.1765,0.899354,2.19,-0.72,-6.95945,7.79617,-44.7464,-65.8647,-11.4571,-0.2,15.3916,0.3,33.7089,-1.57356,5.29959,24.7258,-32.4726,8.87441,129.119,-38.9676,-70.2568,0.2576205281096345,0.0046838733826791,-0.107296998920598,0.0236404921778248,-0.1206128161156146,0.0147948274291552,0.0133158172062973,0.0134282457283544
E_S_WWC_WM_015,13.725,13.8181,18.0805,-8.53467,-1.39,1.47,18.6772,-2.96069,44.9859,76.8757,-6.19086,0.2,-18.6255,-0.3,11.8111,5.39458,-15.1906,-4.49989,74.1891,21.0976,122.545,36.772,-0.491471,0.2767532053156146,0.0139702928426156,-0.1647063920797342,0.0276582011007212,-0.0825428724903654,0.0078592824914657,-0.0821635196548172,0.0299122889157828
E_S_WWC_WM_016,0.223555,13.7781,-5.46415,14.5567,-1.16,0.16,6.27646,-4.20453,-21.1336,51.713,-9.19082,-0.2,-5.64184,-0.2,7.79045,25.3704,24.9272,-8.79346,-8.57969,7.06585,-14.8453,-16.5856,-88.3032,0.2915354272657807,0.0140497619464938,-0.1960621307375415,0.0371834713110533,-0.1067144105867109,0.0100061416978802,-0.0893477201817607,0.0384435607997735
E_S_WWC_WM_017,5.2301,0.303838,10.7587,8.29903,-0.92,-1.19,1.34318,-2.29422,-36.9208,-43.1497,4.50102,0.6,23.8279,0.5,16.7638,5.64683,6.37938,-1.60506,116.222,45.9524,147.656,1.03778,-158.546,0.2311960185880398,0.0048398863864215,-0.0863167051531561,0.0220056269506749,-0.1066350519242525,0.0102635427173551,0.0203183467499272,0.015146052081371
E_S_WWC_WM_018,-3.30674,14.4599,6.37581,-14.8876,0.9,-0.04,-3.08273,-0.640042,-38.1293,-31.1449,-9.76115,0.0,4.56399,-0.3,18.493,22.6033,-29.6222,30.0554,31.3474,-33.4415,-1.58575,-54.8688,-103.728,0.2937057613488372,0.0065313573869064,-0.144020518492691,0.0279707928455111,-0.1354501776578073,0.0100775077953097,-0.0085703408354385,0.026928320596274
E_S_WWC_WM_019,-7.86397,1.10941,2.33321,2.76096,0.28,0.7,0.409288,-0.474428,17.7035,-83.6888,-2.67495,0.0,9.58987,-0.3,47.4944,-0.567055,-0.660401,26.1387,109.125,0.769931,-55.9908,-29.1427,94.766,0.2638325519069767,0.0068940486013384,-0.1921520502491694,0.0320708963894017,-0.1849922152790697,0.005910954922037,-0.0071598349854335,0.0347221205770188
E_S_WWC_WM_020,5.87987,-1.956,4.31193,-2.00787,0.03,1.31,12.3594,5.71535,-48.9644,55.8636,-2.763,0.7,-24.3493,1.0,24.6246,26.8822,-11.3817,50.6538,-21.3935,37.6009,-2.42089,-18.9778,-153.417,0.2713102941760797,0.0061353873145523,-0.1111934243312292,0.025985588770601,-0.0595833362196013,0.0106968889679969,-0.0516100881220431,0.0289797911404206
E_S_WWC_WM_021,-7.62291,5.48396,-5.63015,-15.2921,-0.01,-0.5,9.84571,3.54719,-31.7686,-21.7386,-1.46429,-0.3,-3.6687,0.3,-12.4483,-1.37854,-1.08802,14.0502,-13.2919,49.411,36.7026,-52.1665,87.1995,0.2839462320697674,0.0072049527155479,-0.230911708358804,0.023098748140564,-0.2149311189767441,0.0093522156376811,-0.0159805893503524,0.0179420727855236
E_S_WWC_WM_022,-0.0121556,-4.68785,16.284,-18.8349,1.45,-0.53,13.7383,3.64302,25.2465,-82.5548,2.45827,0.5,-6.6515,-0.1,32.3662,-17.7849,-28.4745,0.994433,5.32761,-8.09683,96.1223,-55.1658,-70.6681,0.2511054624584717,0.0062804077647165,-0.0366098369069767,0.0130728021137736,-0.1265321896146179,0.0084475578663681,0.0899223527116279,0.0149987788497777
E_S_WWC_WM_023,-2.25394,3.95079,-2.5473,-15.1478,-0.81,-1.45,-0.376644,8.06763,-14.0135,126.624,-7.482,-0.3,18.8171,1.0,36.6968,-18.8859,-7.88261,-11.2833,-22.3522,7.56822,77.0161,3.44595,24.6809,0.2836359096511628,0.0044569388850674,-0.2765952104119601,0.0186646431189216,-0.1591225787242524,0.0103628936382407,-0.1174726317119601,0.0168932964959151
E_S_WWC_WM_024,12.275,3.03627,0.166011,-1.80484,-1.65,-0.94,7.29332,8.50611,10.6522,81.4043,4.53588,-0.4,-18.4,0.6,21.9543,0.336808,14.1323,51.9544,53.6096,-36.2265,-9.03726,53.6408,-117.961,0.2730119556644518,0.0063134776764383,-0.1049478791332226,0.0447989235354827,-0.0397342767448504,0.0115970336137979,-0.065213602369103,0.0384403970403763
E_S_WWC_WM_025,-4.39241,10.7379,15.7931,13.4324,-0.73,1.29,11.4561,-1.05309,7.96589,-4.42535,1.13868,-0.3,-14.9419,0.5,24.7564,-8.51155,-26.1628,51.7605,31.6866,-34.8844,148.312,64.0531,-46.0773,0.2824939752059801,0.0061948430518909,-0.045590277451691,0.0282396183591281,-0.1655519841096345,0.0095500314608303,0.1199617066664451,0.0244388939481748
E_S_WWC_WM_026,-0.548153,13.3011,6.23093,1.38921,1.28,1.8,19.3819,-1.926,-29.1622,-81.4516,1.98087,0.3,-9.94397,0.6,-4.79101,-1.93688,15.9841,-22.4271,76.799,-18.7457,3.51334,63.7636,-10.4763,0.2340060281229235,0.0074332914567555,-0.1290792754269103,0.0410028057272139,-0.119621473551495,0.0062848104092069,-0.0094578018831405,0.0415343982659396
E_S_WWC_WM_027,-5.09464,4.50221,15.8236,-7.43203,1.43,1.05,7.91727,5.67173,21.7038,129.07,-10.0355,0.1,-7.75284,-0.4,0.147791,25.9192,-0.932244,38.3834,97.8507,-42.1468,45.4243,-14.8737,-174.869,0.2917362730398671,0.0049677697142715,-0.2225761114385382,0.0144740769054182,-0.1655771554518272,0.0067119137213479,-0.0569989559916943,0.012593119313325
E_S_WWC_WM_028,-5.56375,5.34724,13.4826,19.3909,-1.62,-0.17,7.06062,4.91627,-5.71133,-73.1301,-8.20529,-0.2,2.88077,0.3,41.0484,22.2204,28.6893,2.19385,54.47,35.7001,102.422,31.9074,-141.711,0.2554975734385382,0.0062983696029009,-0.2432949254186046,0.0289977811018794,-0.2135154262325581,0.0091903425886588,-0.0297794992094491,0.0253942491074628
