Experiment,B_Ramp_Angle,B_Diffusor_Angle,B_Trunklid_Angle,C_Side_Mirrors_Rotation,D_Rear_Window_Inclination,D_Winscreen_Inclination,C_Side_Mirrors_Translate_X,C_Side_Mirrors_Translate_Z,D_Winscreen_Length,D_Rear_Window_Length,E_A_B_C_Pillar_Thickness,G_Trunklid_Curvature,G_Trunklid_Length,H_Front_Bumper_Curvature,H_Front_Bumper_Length,F_Door_Handles_Thickness,F_Door_Handles_Z_Position,E_Fenders_Arch_Offset,A_Car_Length,F_Door_Handles_X_Position,A_Car_Width,A_Car_Roof_Height,A_Car_Green_House_Angle,Average Cd,Std Cd
E_S_WWC_WM_1,8.67264,12.2698,-6.93812,10.9882,1.98,-0.95,-5.14719,-2.24316,-6.06023,81.3638,-12.6495,0.8,-4.49071,0.9,44.6263,23.1316,-10.8781,21.2484,112.13,-22.0421,78.2033,19.7153,16.4525,0.2941286508239202,0.0063184735915833
E_S_WWC_WM_2,-0.0388756,-2.46694,5.82266,-15.8479,-1.0,2.44,17.4985,2.1,-8.27849,105.888,4.40581,0.6,-3.35699,-0.2,40.21,-7.30691,4.31735,12.0772,48.827,-38.2885,-16.9201,47.0299,125.643,0.2649179828239202,0.0065657936068271
E_S_WWC_WM_3,9.57647,6.51376,-5.85023,-1.38529,-0.55,1.44,-5.29082,8.5266,49.2193,80.8977,-4.57981,0.4,15.8084,0.5,42.9248,17.3151,1.7845,49.284,72.6831,30.8079,30.7021,68.1871,-164.195,0.2895645236179402,0.0088951785849528
E_S_WWC_WM_4,10.3506,14.8464,4.04619,-10.9198,1.17,2.11,16.1712,5.02336,-41.9653,-11.8186,-3.53949,-0.2,20.9434,0.3,10.7997,25.6418,14.3013,24.0653,58.1828,-37.2593,134.522,27.6344,15.7273,0.2740500764252491,0.0106490536330307
E_S_WWC_WM_5,12.9715,10.6198,-6.48716,6.18597,2.25,-0.01,9.68012,5.09923,-12.3244,63.8911,-14.6804,-0.1,11.6543,-0.1,40.39,12.1007,10.4434,39.8728,81.2466,8.66135,130.822,-36.2487,88.6815,0.2943051109634551,0.0064760001307554
E_S_WWC_WM_6,9.34228,-3.16809,3.62362,-0.40938,-0.32,-1.08,18.4869,-4.89229,-21.1429,-51.4419,4.65238,0.4,9.2175,0.5,21.1696,-11.0906,-6.39725,7.58401,-37.6371,-45.9744,127.369,70.7942,-17.8464,0.2220471242890365,0.0066836466831436
E_S_WWC_WM_7,-0.324772,5.57163,10.0661,19.1134,-1.11,1.97,8.57573,4.18703,11.4337,128.574,-3.17983,0.0,-18.0778,0.1,36.0917,22.9391,-4.14031,23.1288,125.336,5.53025,128.399,-56.5256,-23.5455,0.281484899717608,0.0098640228020342
E_S_WWC_WM_8,11.2471,-7.30354,18.5968,1.43838,-1.25,0.54,-3.48386,2.24477,7.1409,31.4745,-7.33866,0.6,-8.49659,0.7,6.74988,9.57108,-4.24254,-16.4713,25.4095,-40.3024,107.968,-52.5836,57.4909,0.2429088606710963,0.0070541548575969
E_S_WWC_WM_9,-1.63974,-7.91724,16.4215,-13.942,0.29,1.26,-7.90374,5.13453,24.627,-28.3226,-3.71092,-0.2,17.2261,0.0,-7.32919,18.7647,-12.1105,43.2354,42.3561,-43.6618,89.0359,26.8087,117.017,0.2489804849815498,0.0054302203572293
E_S_WWC_WM_10,7.5353,-4.33703,8.61681,-19.4537,-0.44,-0.39,-9.27498,8.43238,27.9209,17.598,-14.9975,-0.2,3.34073,-0.2,31.5132,1.31296,-17.6415,27.7268,24.6156,37.1007,18.3839,69.6224,2.59549,0.277823859564784,0.0053758993916448
E_S_WWC_WM_11,1.45564,1.22362,12.0954,7.09802,-0.7,2.3,0.596081,-0.450606,-33.1165,29.2328,1.26841,-0.2,12.2478,0.0,-0.695343,24.2013,-22.1975,38.4497,-38.8848,-47.553,-45.1738,11.9651,-175.733,0.2874866399568106,0.0053513660531805
E_S_WWC_WM_12,7.94051,-5.21013,3.19505,-4.76296,-1.1,-0.29,3.72183,-4.85159,26.9704,109.582,0.993291,0.7,-10.5897,0.9,26.1141,-2.12336,-21.7019,0.783284,4.89163,-36.421,-1.21948,43.4288,-198.922,0.2463983686478405,0.0064984960645348
E_S_WWC_WM_13,0.352927,4.68227,19.1044,-16.4886,-1.64,0.23,-8.74561,2.76618,-2.75982,-76.9116,-14.4971,0.2,2.74215,0.8,46.7225,1.81866,0.981035,24.6691,72.3818,-7.29189,137.84,-9.11047,-37.9416,0.2650131689634551,0.0069982829628934
E_S_WWC_WM_14,6.103,-6.27523,13.1765,0.899354,2.19,-0.72,-6.95945,7.79617,-44.7464,-65.8647,-11.4571,-0.2,15.3916,0.3,33.7089,-1.57356,5.29959,24.7258,-32.4726,8.87441,129.119,-38.9676,-70.2568,0.2604250354318937,0.0044944016153273
E_S_WWC_WM_15,13.725,13.8181,18.0805,-8.53467,-1.39,1.47,18.6772,-2.96069,44.9859,76.8757,-6.19086,0.2,-18.6255,-0.3,11.8111,5.39458,-15.1906,-4.49989,74.1891,21.0976,122.545,36.772,-0.491471,0.2740211649767441,0.0085234058178874
E_S_WWC_WM_16,0.223555,13.7781,-5.46415,14.5567,-1.16,0.16,6.27646,-4.20453,-21.1336,51.713,-9.19082,-0.2,-5.64184,-0.2,7.79045,25.3704,24.9272,-8.79346,-8.57969,7.06585,-14.8453,-16.5856,-88.3032,0.2836846288239202,0.0069391897615108
E_S_WWC_WM_17,5.2301,0.303838,10.7587,8.29903,-0.92,-1.19,1.34318,-2.29422,-36.9208,-43.1497,4.50102,0.6,23.8279,0.5,16.7638,5.64683,6.37938,-1.60506,116.222,45.9524,147.656,1.03778,-158.546,0.2277691146112956,0.0053147590638524
E_S_WWC_WM_18,-3.30674,14.4599,6.37581,-14.8876,0.9,-0.04,-3.08273,-0.640042,-38.1293,-31.1449,-9.76115,0.0,4.56399,-0.3,18.493,22.6033,-29.6222,30.0554,31.3474,-33.4415,-1.58575,-54.8688,-103.728,0.3120098656112957,0.0070068736730696
E_S_WWC_WM_19,-7.86397,1.10941,2.33321,2.76096,0.28,0.7,0.409288,-0.474428,17.7035,-83.6888,-2.67495,0.0,9.58987,-0.3,47.4944,-0.567055,-0.660401,26.1387,109.125,0.769931,-55.9908,-29.1427,94.766,0.2605629679069767,0.004317069482756
E_S_WWC_WM_20,5.87987,-1.956,4.31193,-2.00787,0.03,1.31,12.3594,5.71535,-48.9644,55.8636,-2.763,0.7,-24.3493,1.0,24.6246,26.8822,-11.3817,50.6538,-21.3935,37.6009,-2.42089,-18.9778,-153.417,0.2715824696943522,0.0039921584809683
E_S_WWC_WM_21,-7.62291,5.48396,-5.63015,-15.2921,-0.01,-0.5,9.84571,3.54719,-31.7686,-21.7386,-1.46429,-0.3,-3.6687,0.3,-12.4483,-1.37854,-1.08802,14.0502,-13.2919,49.411,36.7026,-52.1665,87.1995,0.2854605471428571,0.0054352385246034
E_S_WWC_WM_22,-0.0121556,-4.68785,16.284,-18.8349,1.45,-0.53,13.7383,3.64302,25.2465,-82.5548,2.45827,0.5,-6.6515,-0.1,32.3662,-17.7849,-28.4745,0.994433,5.32761,-8.09683,96.1223,-55.1658,-70.6681,0.2465055932558139,0.0103077645216428
E_S_WWC_WM_23,-2.25394,3.95079,-2.5473,-15.1478,-0.81,-1.45,-0.376644,8.06763,-14.0135,126.624,-7.482,-0.3,18.8171,1.0,36.6968,-18.8859,-7.88261,-11.2833,-22.3522,7.56822,77.0161,3.44595,24.6809,0.2804930420730897,0.0088700463617013
E_S_WWC_WM_24,12.275,3.03627,0.166011,-1.80484,-1.65,-0.94,7.29332,8.50611,10.6522,81.4043,4.53588,-0.4,-18.4,0.6,21.9543,0.336808,14.1323,51.9544,53.6096,-36.2265,-9.03726,53.6408,-117.961,0.2816208502458472,0.007741943114459
E_S_WWC_WM_25,-4.39241,10.7379,15.7931,13.4324,-0.73,1.29,11.4561,-1.05309,7.96589,-4.42535,1.13868,-0.3,-14.9419,0.5,24.7564,-8.51155,-26.1628,51.7605,31.6866,-34.8844,148.312,64.0531,-46.0773,0.2815088071528239,0.0106221414497218
E_S_WWC_WM_26,-0.548153,13.3011,6.23093,1.38921,1.28,1.8,19.3819,-1.926,-29.1622,-81.4516,1.98087,0.3,-9.94397,0.6,-4.79101,-1.93688,15.9841,-22.4271,76.799,-18.7457,3.51334,63.7636,-10.4763,0.2494843092458471,0.0075039100523053
E_S_WWC_WM_27,-5.09464,4.50221,15.8236,-7.43203,1.43,1.05,7.91727,5.67173,21.7038,129.07,-10.0355,0.1,-7.75284,-0.4,0.147791,25.9192,-0.932244,38.3834,97.8507,-42.1468,45.4243,-14.8737,-174.869,0.2992402932923588,0.004536529266032
E_S_WWC_WM_28,-5.56375,5.34724,13.4826,19.3909,-1.62,-0.17,7.06062,4.91627,-5.71133,-73.1301,-8.20529,-0.2,2.88077,0.3,41.0484,22.2204,28.6893,2.19385,54.47,35.7001,102.422,31.9074,-141.711,0.2574987984186047,0.0080027266041377
E_S_WWC_WM_29,12.9335,8.96239,5.49599,17.6739,0.15,2.45,3.92436,2.1444,43.0641,142.531,4.43019,0.2,12.7643,0.4,-14.3892,-6.82119,-13.0547,46.9327,13.244,-19.0137,18.919,15.1001,41.3324,0.2891598308405315,0.0069055666960726
E_S_WWC_WM_30,-1.57663,-2.75033,11.7988,10.1903,-1.53,1.81,-2.58923,-3.94171,-41.4857,-86.1915,-1.31163,0.3,-18.4758,0.0,43.6951,-0.32454,0.11858,41.5112,-31.6822,31.8473,33.2896,65.6668,-73.3159,0.260890287013289,0.0068499913743226
E_S_WWC_WM_31,3.81305,-1.79022,8.72984,11.2146,1.77,-1.0,-4.26541,-3.63749,-29.0722,79.7044,1.89421,0.3,-21.1367,-0.1,-13.3246,-8.22371,19.9466,-22.0445,129.134,41.853,55.4154,-10.7594,-24.089,0.2501987159634551,0.0050714310950579
E_S_WWC_WM_32,11.1432,6.26811,7.28715,5.32752,0.58,1.68,-1.5856,-1.60328,-38.5537,85.767,-13.5788,0.2,-18.8025,0.7,-12.8077,-7.88592,13.2515,33.7888,26.3825,36.3101,-50.379,-47.325,-69.2458,0.2936185864717608,0.0084199040862041
E_S_WWC_WM_33,1.8435,10.6631,-2.94028,16.3777,0.41,1.33,8.10745,4.16714,4.18956,144.769,-7.92863,0.7,6.88863,-0.3,39.8712,11.6582,-19.5982,-1.13637,67.9503,43.2338,85.6384,17.8351,-191.452,0.2877013544119601,0.0066712597933495
E_S_WWC_WM_34,1.36342,-7.61369,11.5818,16.8202,-1.15,2.17,15.6385,2.42196,-25.7963,-28.8691,-5.94068,0.4,17.1042,0.1,-7.21598,22.4881,24.3591,-11.6597,116.992,20.3957,-18.7895,-41.9721,33.2938,0.2586956247740863,0.0076074938675354
E_S_WWC_WM_35,2.95889,13.4543,19.5827,-0.305176,-0.68,-0.63,-1.52171,7.36683,-24.6629,-11.2609,-4.90479,0.3,-24.0775,0.0,22.2016,-6.99006,-3.55027,17.6741,126.329,43.8277,39.1891,57.9219,121.918,0.2617364974385382,0.0081290947253329
E_S_WWC_WM_36,4.04673,-1.2177,-6.75451,-2.77402,0.35,-0.13,-7.45434,0.219354,7.84573,109.751,-4.2957,-0.4,-7.20645,0.4,7.98313,18.2027,-10.41,-2.7223,37.5586,11.6634,94.173,67.1766,143.872,0.276162748461794,0.0066008752938909
E_S_WWC_WM_37,2.6654,10.373,1.41006,16.9873,0.99,-1.44,-9.34656,-3.08404,16.6036,-80.1042,0.421409,0.0,1.58647,0.5,33.4087,-13.8866,-16.3239,10.445,56.3836,-6.3394,116.304,88.1792,-179.803,0.2547230290166113,0.0060247757891162
E_S_WWC_WM_38,14.3719,3.99311,7.06808,-4.03165,0.01,1.47,-7.18599,0.754837,41.0307,-84.3797,-14.4357,0.2,-15.3478,-0.2,-0.0869685,-16.7486,-13.3455,-17.6351,89.1562,-22.4399,41.0008,63.0411,53.4,0.2658543281694352,0.0060498490078013
E_S_WWC_WM_39,2.72894,2.04421,-0.724237,1.3463,-1.22,-0.69,0.903987,2.71796,-26.5129,30.1667,2.94954,0.8,9.36839,0.1,42.3273,29.7907,24.2171,-3.17335,109.759,28.4732,-1.97849,68.9509,92.6275,0.2372628755614617,0.0045707767900925
E_S_WWC_WM_40,11.3192,-3.5626,5.08488,-18.6151,-1.77,1.5,-2.86282,3.92401,-8.10225,73.4475,-8.03779,0.5,-1.6228,0.9,28.13,-19.9608,-5.11105,36.2583,114.399,-4.92039,83.4428,39.1905,136.714,0.2588555391295681,0.0032377855300566
E_S_WWC_WM_41,3.94595,6.08096,14.1943,3.51466,2.0,-0.89,-9.96959,-0.812788,19.5231,-13.5135,-13.6464,0.2,13.0695,0.1,47.3756,-5.64847,27.2336,23.0463,106.746,22.6932,95.8385,31.1652,118.253,0.2692715644950166,0.0091989083555226
E_S_WWC_WM_42,10.5997,-6.76392,11.9785,6.48823,1.95,-1.69,11.8859,7.93556,33.1547,22.9067,1.82854,0.5,0.529597,0.4,-17.1111,23.9532,-6.66621,-6.51723,65.5835,36.9325,34.3398,-1.10282,95.0328,0.2537806604385381,0.0057852008719892
E_S_WWC_WM_43,0.663193,7.45066,11.4032,2.03442,-1.49,-0.11,-2.50209,4.55267,-35.3988,59.2556,4.97848,0.1,-6.01359,1.0,24.3726,-11.657,10.4637,-15.046,32.8735,3.96813,149.036,73.8565,5.89736,0.2484557132026578,0.0053215775696878
E_S_WWC_WM_44,14.9612,7.9281,11.9546,9.06811,1.79,1.03,13.9392,4.29414,-28.5944,9.11563,-10.9403,-0.4,-1.09465,-0.1,34.8682,21.0826,-2.06747,-8.5401,-59.2583,-41.8928,87.9634,72.913,111.681,0.2919985490332225,0.0054063341095074
E_S_WWC_WM_45,-1.54275,8.26849,18.2613,-12.4759,-1.19,-0.61,7.41279,-4.74297,-35.9328,10.2517,-12.7692,-0.3,-13.7375,-0.1,31.9796,-6.21809,-27.3962,49.9202,-28.0778,-1.04761,-23.4102,6.48645,-1.24425,0.3042803348438538,0.0086245605402006
E_S_WWC_WM_46,0.0703992,-1.65459,7.3471,5.6013,0.92,-1.59,-8.94106,7.38831,-38.2635,44.7179,-2.49146,0.8,3.00708,0.8,49.3001,16.154,24.2956,10.1017,-37.1721,-20.753,112.593,19.1285,76.8045,0.247993263757475,0.0067763676478952
